1,"Bolívar"
2,"Camatagua"
2,"Carmen de Cura"
3,"Francisco de Miranda"
3,"Moseñor Feliciano González"
3,"Santa Rita"
4,"Andrés Eloy Blanco"
4,"Choroní"
4,"Joaquín Crespo"
4,"José Casanova Godoy"
4,"Las Delicias"
4,"Los Tacarigua"
4,"Madre María de San José"
4,"Pedro José Ovalles"
5,"Santa Cruz"
6,"Castor Nieves Ríos"
6,"José Félix Ribas"
6,"Las Guacamayas"
6,"Pao de Zárate"
6,"Parroquia Zuata"
7,"José Rafael Revenga"
8,"Palo Negro"
8,"San Martín de Porres"
9,"El Limón"
9,"Caña de Azúcar"
10,"Ocumare de la Costa"
11,"Güiripa"
11,"Ollas de Caramacate"
11,"San Casimiro"
11,"Valle Morín"
12,"San Sebastián"
13,"Alfredo Pacheco Miranda"
13,"Arevalo Aponte"
13,"Chuao"
13,"Samán de Güere"
13,"Turmero"
14,"Santos Michelena"
14,"Tiara"
15,"Cagua"
15,"Bella Vista"
16,"Tovar"
17,"Las Peñitas"
17,"San Francisco de Cara"
17,"Taguay"
17,"Urdaneta"
18,"Augusto Mijares"
18,"Magdaleno"
18,"San Francisco de Asís"
18,"Valles de Tucutunemo"
18,"Zamora"